instance,family,keep,K,customers,num_seeds,pool_size_before_cap,master_pool_cap,pool_size,best_single_lns_score,ortools_seconds,ortools_solved,ortools_score,exact_seconds,exact_feasible,exact_score,neal_seconds,neal_valid_samples,neal_num_reads,neal_best_score,swap_seconds,swap_valid,swap_restarts,swap_best_score,total_seconds
c205,C,70,2,70,8,22,600,22,31695.309579366593,30.001889345236123,True,37815.15395172994,0.00033321045339107513,True,31247.480558939358,0.289861086755991,144,1000,31247.480558939358,7.0911778174340725,200,200,31247.480558939358,8288.913244697265
c205,C,100,3,100,8,3,600,3,588.8759626534237,30.004186197184026,True,588.8759626534237,0.00014197267591953278,True,588.8759626534238,0.0667573381215334,1000,1000,588.8759626534237,0.41410981584340334,200,200,588.8759626534237,11749.933348308317
c206,C,70,2,70,8,100,600,100,12929.496304147093,30.019254404120147,True,19723.67813751818,0.0010255463421344757,True,12574.954302063808,1.8667836599051952,51,1000,12574.954302063808,7.386133939027786,200,200,12574.954302063808,8405.43346304074
c206,C,100,3,100,8,3,600,3,588.4928487625538,30.002997905947268,True,588.4928487625538,0.0001370646059513092,True,588.4928487625538,0.06786472350358963,1000,1000,588.4928487625538,0.4139520423486829,200,200,588.4928487625538,11573.422054593451
c207,C,70,2,70,8,10,600,10,4033.8926037082156,30.002720979973674,True,7177.601489412806,0.00017277896404266357,True,3935.156401357631,0.12727217935025692,263,1000,3935.156401357631,6.262730666436255,200,200,3935.156401357631,8572.458071345463
c207,C,100,3,100,8,3,600,3,588.2863214262125,30.003192032687366,True,588.2863214262125,0.00015741493552923203,True,588.2863214262125,0.06955103017389774,1000,1000,588.2863214262125,0.41000144463032484,200,200,588.2863214262125,11573.293323197402
c208,C,70,2,70,8,76,600,76,4630.957680664216,30.00378387980163,True,4804.910610797147,0.000820559449493885,True,4487.164396364823,1.2895599156618118,67,1000,4487.164396364823,7.39505704306066,200,200,4487.164396364823,8291.613413584419
c208,C,100,3,100,8,3,600,3,588.323800657399,30.002908469177783,True,588.323800657399,0.00020574778318405151,True,588.323800657399,0.06798425875604153,1000,1000,588.323800657399,0.42974042519927025,200,200,588.323800657399,11691.060466586612
r101,R,70,6,70,8,411,1400,411,18282.824434982358,30.0021517816931,True,19036.24560222078,2.185883025638759,True,17386.26851621441,22.453048828057945,0,1000,,8.036944437772036,111,200,18043.752202868774,2512.416626581922
r101,R,100,8,100,8,322,1400,322,23143.59926867931,30.004367348738015,True,25142.59004204888,142.31660447828472,True,22580.374005487414,15.760023017413914,0,1000,,10.954263895750046,100,200,23126.616149106856,3760.63141348958
r102,R,70,6,70,8,365,1400,365,11356.264448519592,30.004535389132798,True,11331.01654825838,9.10869549959898,True,10508.037653809697,19.295241612941027,0,1000,,7.933367828838527,178,200,10777.704718500354,2532.0138545725495
r102,R,100,8,100,8,448,1400,448,14447.280413610157,30.003008210100234,True,15503.325041329954,212.0699452739209,True,13206.46034201122,28.414843255653977,0,1000,,11.164071939885616,61,200,13909.7753254748,3756.9128000326455
r103,R,70,6,70,8,410,1400,410,7389.111942835488,30.00212178286165,True,6911.391439625167,10.928435660898685,True,6880.628847465846,22.526993044652045,0,1000,,8.097629212774336,126,200,7158.5680659435075,2449.073013811372
r103,R,100,8,100,8,792,1400,792,9279.762817960522,30.003015619702637,True,8795.981623954693,,,,73.9107892010361,0,1000,,11.143471144139767,9,200,9055.72085321595,3367.5552175333723
